,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Fungal infection,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Fungal infection,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fungal infection,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Fungal infection,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fungal infection,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Fungal infection,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Allergy,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Allergy,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
21,GERD,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
22,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
23,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
24,GERD,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
25,GERD,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
26,GERD,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
27,GERD,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
28,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
29,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
30,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
31,Chronic cholestasis,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
32,Chronic cholestasis,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
33,Chronic cholestasis,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
34,Chronic cholestasis,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
35,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
36,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
37,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
38,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
39,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
40,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Drug Reaction,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Drug Reaction,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Drug Reaction,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Drug Reaction,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Drug Reaction,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Drug Reaction,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Drug Reaction,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
51,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
52,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
53,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
54,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
55,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
56,Peptic ulcer diseae,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
57,Peptic ulcer diseae,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
58,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
59,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
60,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
61,AIDS,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,AIDS,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,AIDS,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
66,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
67,AIDS,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AIDS,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
71,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
72,Diabetes,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
73,Diabetes,4,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
74,Diabetes,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
75,Diabetes,4,3,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0
76,Diabetes,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
77,Diabetes,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
78,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
79,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
80,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Gastroenteritis,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Gastroenteritis,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Gastroenteritis,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Gastroenteritis,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Gastroenteritis,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
91,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
92,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
93,Bronchial Asthma,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
94,Bronchial Asthma,4,4,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0
95,Bronchial Asthma,4,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
96,Bronchial Asthma,4,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
97,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
98,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
99,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
100,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
101,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Hypertension,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Hypertension,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
107,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Hypertension,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
111,Migraine,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
112,Migraine,3,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
113,Migraine,3,5,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
114,Migraine,3,5,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0
115,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
116,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
117,Migraine,3,5,3,5,4,4,2,3,0,0,0,0,0,0,0,0,0
118,Migraine,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0
119,Migraine,3,5,3,5,4,4,3,2,0,0,0,0,0,0,0,0,0
120,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
121,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
122,Cervical spondylosis,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Cervical spondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Cervical spondylosis,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
